SRC_IP,DST_IP,SRC_PORT,DST_PORT,PROTOCOL,Packets,Duration,Packet/sec,Byte/sec,Average Packet Size,Total Bytes,Max Packet Size,Min Packet Size
74.162.106.40,192.168.1.14,443.0,59625.0,TCP,2,1.6689300537109375e-06,1198372.5714285714,83286893.71428572,69.5,139,85,54
192.168.1.14,74.162.106.40,59625.0,443.0,TCP,3,20.17163634300232,0.14872368056747765,8.031078750643793,54.0,162,54,54
192.168.1.14,13.127.247.216,62593.0,8081.0,TCP,2,1.0011746883392334,1.9976533798688378,131.8451230713433,66.0,132,66,66
192.168.1.14,13.127.247.216,62594.0,8081.0,TCP,2,1.001173734664917,1.9976552827460863,131.8452486612417,66.0,132,66,66
192.168.1.14,13.127.247.216,62595.0,8081.0,TCP,2,1.0011742115020752,1.997654331307009,131.8451858662626,66.0,132,66,66
192.168.1.14,13.127.247.216,62592.0,8081.0,TCP,2,1.0011742115020752,1.997654331307009,131.8451858662626,66.0,132,66,66
192.168.1.14,13.127.247.216,62596.0,8081.0,TCP,2,1.0002293586730957,1.999541387840485,131.96973159747202,66.0,132,66,66
192.168.1.14,13.127.247.216,62598.0,8081.0,TCP,3,3.0005037784576416,0.999832102041911,65.98891873476612,66.0,198,66,66
192.168.1.14,13.127.247.216,62597.0,8081.0,TCP,2,1.0002176761627197,1.9995647424197605,131.97127299970418,66.0,132,66,66
192.168.1.14,13.127.247.216,62599.0,8081.0,TCP,2,1.0002174377441406,1.999565219049508,131.9713044572675,66.0,132,66,66
192.168.1.14,13.127.247.216,62600.0,8081.0,TCP,2,1.000469446182251,1.9990615481881184,131.9380621804158,66.0,132,66,66
192.168.1.14,13.127.247.216,62601.0,8081.0,TCP,2,1.0004515647888184,1.9990972780598055,131.94042035194715,66.0,132,66,66
192.168.1.14,13.127.247.216,62605.0,8081.0,TCP,2,1.0006890296936035,1.9986228894828306,131.90911070586682,66.0,132,66,66
192.168.1.14,13.127.247.216,62604.0,8081.0,TCP,2,1.0006892681121826,1.9986224133022172,131.90907927794635,66.0,132,66,66
192.168.1.14,13.127.247.216,62603.0,8081.0,TCP,2,1.0006976127624512,1.9986057471236982,131.90797931016408,66.0,132,66,66
192.168.1.14,13.127.247.216,62602.0,8081.0,TCP,2,1.0006985664367676,1.9986038424352799,131.9078536007285,66.0,132,66,66
192.168.1.14,13.127.247.216,62608.0,8081.0,TCP,2,1.0002553462982178,1.9994894377737389,131.96630289306677,66.0,132,66,66
192.168.1.14,13.127.247.216,62606.0,8081.0,TCP,3,3.0012006759643555,0.9995999347947735,65.97359569645505,66.0,198,66,66
192.168.1.14,13.127.247.216,62607.0,8081.0,TCP,2,1.0002784729003906,1.9994432092503538,131.96325181052333,66.0,132,66,66
192.168.1.14,13.127.247.216,62609.0,8081.0,TCP,2,1.0002727508544922,1.9994546470365024,131.96400670440917,66.0,132,66,66
172.175.234.12,192.168.1.14,443.0,62579.0,TCP,3,3.004844903945923,0.998387635934367,61.90003342793075,62.0,186,78,54
192.168.1.14,172.175.234.12,62579.0,443.0,TCP,4,3.0047554969787598,1.3312231241516805,71.88604870419074,54.0,216,54,54
192.168.1.14,13.127.247.216,62610.0,8081.0,TCP,3,3.0009453296661377,0.9996849893742507,65.97920929870054,66.0,198,66,66
192.168.1.14,13.127.247.216,62611.0,8081.0,TCP,3,3.0009453296661377,0.9996849893742507,65.97920929870054,66.0,198,66,66
192.168.1.14,172.175.234.12,51204.0,443.0,TCP,10,0.7918074131011963,12.629333641666674,4285.132904617502,339.3,3393,1304,54
172.175.234.12,192.168.1.14,443.0,51204.0,TCP,9,0.5147132873535156,17.48546272484047,17464.091603732333,998.7777777777778,8989,2554,54
192.168.1.6,224.0.0.22,,,OTHER,3,7.152557373046875e-07,4194304.0,226492416.0,54.0,162,54,54
192.168.1.6,224.0.0.251,5353.0,5353.0,UDP,2,1.0102217197418213,1.9797634132348023,197.97634132348023,100.0,200,100,100
192.168.1.14,13.127.247.216,51205.0,8081.0,TCP,2,0.9997615814208984,2.0004769508721525,132.03147875756207,66.0,132,66,66
192.168.1.14,13.127.247.216,51206.0,8081.0,TCP,2,0.9996707439422607,2.0006587290059943,132.04347611439562,66.0,132,66,66
192.168.1.14,13.127.247.216,51207.0,8081.0,TCP,2,0.9996354579925537,2.0007293498935668,132.04813709297542,66.0,132,66,66
192.168.1.14,13.127.247.216,51208.0,8081.0,TCP,2,0.9994478225708008,2.001104964995129,132.0729276896785,66.0,132,66,66
192.168.1.14,13.127.247.216,51212.0,8081.0,TCP,1,0.0,0.0,0.0,66.0,66,66,66
